datetime,temp,precip,windgust,windspeed,cloudcover
2018-01-01,11.3,11.114,,30.4,37.3
2018-01-02,12.4,0,,22.1,27.5
2018-01-03,12.7,0.372,,13.9,68.1
2018-01-04,11.7,1.14,76,18.2,74.9
2018-01-05,12,13.241,,30.5,83.5
2018-01-06,12.7,0.298,,14.5,32.9
2018-01-07,11.7,0,,10.7,0.8
2018-01-08,11.2,0,,16,17.8
2018-01-09,11.8,0,,12.4,51.6
2018-01-10,11.5,0.013,,12.7,68.8
2018-01-11,13.1,0.177,,18.1,60.3
2018-01-12,12.4,0.001,,21.3,30.3
2018-01-13,11.7,0.018,,18.3,32.1
2018-01-14,11.5,4.554,,21.4,51.4
2018-01-15,11.1,0.185,,17.6,25.2
2018-01-16,10.8,0,,12.6,59.3
2018-01-17,11.5,0.231,,14.4,68.5
2018-01-18,11.7,4.349,101.9,31.9,80.2
2018-01-19,10.3,8.437,59.4,37.9,22
2018-01-20,8.7,0,,11.3,14.9
2018-01-21,10,0,,17.7,79.2
2018-01-22,13.3,0.849,76,15.3,59.7
2018-01-23,11.5,9.265,,23.2,67.7
2018-01-24,11.3,16.84,,21.8,89.4
2018-01-25,9.7,4.659,,29.4,77
2018-01-26,9.6,3.228,,17.3,63.6
2018-01-27,9.9,0,,16,13.9
2018-01-28,10,0,,8.1,24.2
2018-01-29,9.2,0,,10.8,19
2018-01-30,9.5,0,,14.3,21
2018-01-31,10.9,0,,10.4,29.7
2018-02-01,11.1,0.002,,12.8,22.3
2018-02-02,10.9,0.001,,12.8,31.7
2018-02-03,11.9,0,,9.6,60.7
2018-02-04,12.3,0,,14.3,79.9
2018-02-05,12.9,0,,12.4,75
2018-02-06,13.4,0.001,,13.2,56.3
2018-02-07,13.4,0.001,,14.3,32.7
2018-02-08,14.5,0.089,,17.2,77.3
2018-02-09,14.4,0,,30.2,65.8
2018-02-10,14.6,0,,21.5,78.7
2018-02-11,14.8,0,,22.9,80.4
2018-02-12,12.5,0,,22,77.7
2018-02-13,11.6,1.843,,32.9,34.9
2018-02-14,11.5,0.09,,9.5,57.8
2018-02-15,12,0,,19.1,62.4
2018-02-16,14.9,0,,33.1,72.6
2018-02-17,13.9,9.375,57.6,26.5,82.2
2018-02-18,14.7,0,,25.5,11.7
2018-02-19,11.4,0,,18.1,54
2018-02-20,13.4,0.004,,14.5,78.1
2018-02-21,12.2,6.613,,15.1,61.4
2018-02-22,13.1,0,,11.1,41
2018-02-23,12,4.612,,5.6,46.6
2018-02-24,11.5,0.04,,19.7,46.1
2018-02-25,12.8,3.03,,38,61.9
2018-02-26,12.2,0.528,,17.5,86.7
2018-02-27,13.1,0.347,,29.3,36.9
2018-02-28,12.3,0,,25.1,36.8
2018-03-01,13.9,0,57.6,27.8,49.6
2018-03-02,13.5,0,,14.6,55.2
2018-03-03,13.2,0.001,,14.5,69.6
2018-03-04,14.4,0.001,,17.7,75
2018-03-05,16.9,0,,14.4,33.9
2018-03-06,17.6,0,,21.3,46.9
2018-03-07,16.1,0.001,,16.9,42.1
2018-03-08,16.5,0,,31.8,47
2018-03-09,15.8,0,,33.5,60.8
2018-03-10,14.3,0,,12.3,69.5
2018-03-11,14.4,0.001,,18.2,19
2018-03-12,14.6,0.001,,21.4,24.5
2018-03-13,14.5,0,,17.9,52.4
2018-03-14,14.7,0,57.6,21.5,50.7
2018-03-15,13.9,0,,28.9,60.1
2018-03-16,14.5,0,,31.7,35.6
2018-03-17,14.8,0,,19.9,43.4
2018-03-18,14.7,0.001,,20.3,82.1
2018-03-19,16.9,0,,25.1,54.8
2018-03-20,16.4,0,57.6,23.7,28.5
2018-03-21,15.4,0,,19.7,38.9
2018-03-22,15.3,0,,28.1,7.4
2018-03-23,18.9,0,,25.6,42.9
2018-03-24,16.5,0.015,72.4,36.8,61.9
2018-03-25,14.4,0,,25.5,50.5
2018-03-26,15.3,0,,19.9,5.4
